Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2019-01-02 00:00:00-05:00,23058.60938,23413.4707,22928.58984,23346.24023,321570000,0,0
2019-01-03 00:00:00-05:00,23176.39063,23176.39063,22638.41016,22686.2207,424240000,0,0
2019-01-04 00:00:00-05:00,22894.91992,23518.64063,22894.91992,23433.16016,396020000,0,0
2019-01-07 00:00:00-05:00,23474.25977,23687.74023,23301.58984,23531.34961,334200000,0,0
2019-01-08 00:00:00-05:00,23680.32031,23864.65039,23581.44922,23787.44922,317420000,0,0
2019-01-09 00:00:00-05:00,23844.26953,24084.71094,23703.16016,23879.11914,324570000,0,0
2019-01-10 00:00:00-05:00,23811.10938,24014.7793,23703.25,24001.91992,338150000,0,0
2019-01-11 00:00:00-05:00,23940.00977,23996.32031,23798.16016,23995.94922,262650000,0,0
2019-01-14 00:00:00-05:00,23880.5293,23964.90039,23765.24023,23909.83984,277560000,0,0
2019-01-15 00:00:00-05:00,23914.10938,24099.14063,23887.92969,24065.58984,291570000,0,0
2019-01-16 00:00:00-05:00,24139.91016,24288.60938,24119.7207,24207.16016,302830000,0,0
2019-01-17 00:00:00-05:00,24147.08984,24474.46094,24088.90039,24370.09961,288590000,0,0
2019-01-18 00:00:00-05:00,24534.18945,24750.2207,24459.0293,24706.34961,372970000,0,0
2019-01-22 00:00:00-05:00,24607.75977,24607.75977,24244.31055,24404.48047,338480000,0,0
2019-01-23 00:00:00-05:00,24577.25,24700.98047,24307.16992,24575.61914,318600000,0,0
2019-01-24 00:00:00-05:00,24579.96094,24626.30078,24422.73047,24553.24023,320170000,0,0
2019-01-25 00:00:00-05:00,24687.21094,24860.15039,24676.75,24737.19922,376890000,0,0
2019-01-28 00:00:00-05:00,24596.98047,24596.98047,24323.93945,24528.2207,347170000,0,0
2019-01-29 00:00:00-05:00,24519.61914,24674.86914,24504.03906,24579.96094,330870000,0,0
2019-01-30 00:00:00-05:00,24826.51953,25109.61914,24790.90039,25014.85938,397330000,0,0
2019-01-31 00:00:00-05:00,24954.48047,25049.61914,24842.08984,24999.66992,507350000,0,0
2019-02-01 00:00:00-05:00,25025.31055,25193.15039,24982.49023,25063.89063,372090000,0,0
2019-02-04 00:00:00-05:00,25062.11914,25239.91016,24977.66992,25239.36914,298540000,0,0
2019-02-05 00:00:00-05:00,25287.92969,25427.32031,25287.65039,25411.51953,310650000,0,0
2019-02-06 00:00:00-05:00,25371.57031,25439.03906,25312.06055,25390.30078,247590000,0,0
2019-02-07 00:00:00-05:00,25265.81055,25314.25977,25000.51953,25169.5293,295460000,0,0
2019-02-08 00:00:00-05:00,25042.35938,25106.39063,24883.03906,25106.33008,248210000,0,0
2019-02-11 00:00:00-05:00,25142.81055,25196.75,25009.09961,25053.10938,241700000,0,0
2019-02-12 00:00:00-05:00,25152.0293,25458.98047,25152.0293,25425.75977,278110000,0,0
2019-02-13 00:00:00-05:00,25480.85938,25625.94922,25480.85938,25543.26953,263330000,0,0
2019-02-14 00:00:00-05:00,25460.65039,25558.90039,25308.08984,25439.39063,313010000,0,0
2019-02-15 00:00:00-05:00,25564.63086,25883.7207,25564.63086,25883.25,328530000,0,0
2019-02-19 00:00:00-05:00,25849.84961,25961.43945,25820.00977,25891.32031,280620000,0,0
2019-02-20 00:00:00-05:00,25872.25977,25986.19922,25846.48047,25954.43945,287880000,0,0
2019-02-21 00:00:00-05:00,25922.41016,25938.88086,25762.21094,25850.63086,255710000,0,0
2019-02-22 00:00:00-05:00,25906.26953,26052.90039,25906.26953,26031.81055,279760000,0,0
2019-02-25 00:00:00-05:00,26126.15039,26241.41992,26080.66016,26091.94922,281600000,0,0
2019-02-26 00:00:00-05:00,26051.60938,26155.28906,25966.00977,26057.98047,257850000,0,0
2019-02-27 00:00:00-05:00,25995.59961,26039.67969,25877.24023,25985.16016,255380000,0,0
2019-02-28 00:00:00-05:00,25984.2793,26029.21094,25896.56055,25916,338520000,0,0
2019-03-01 00:00:00-05:00,26019.66992,26143.91992,25914.36914,26026.32031,289890000,0,0
2019-03-04 00:00:00-05:00,26122.18945,26155.98047,25611.55078,25819.65039,295510000,0,0
2019-03-05 00:00:00-05:00,25829.07031,25877.15039,25725.63086,25806.63086,252260000,0,0
2019-03-06 00:00:00-05:00,25818.75977,25837.60938,25633.71094,25673.46094,256250000,0,0
2019-03-07 00:00:00-05:00,25645.44922,25645.44922,25352.55078,25473.23047,289140000,0,0
2019-03-08 00:00:00-05:00,25347.38086,25466.14063,25252.46094,25450.24023,270500000,0,0
2019-03-11 00:00:00-04:00,25208,25661.63086,25208,25650.88086,309790000,0,0
2019-03-12 00:00:00-04:00,25600.30078,25675.43945,25522.16992,25554.66016,317730000,0,0
2019-03-13 00:00:00-04:00,25637.23047,25776.49023,25571.31055,25702.89063,331410000,0,0
2019-03-14 00:00:00-04:00,25692.31055,25752.83984,25621.31055,25709.93945,302790000,0,0
2019-03-15 00:00:00-04:00,25720.96094,25927.91016,25649.69922,25848.86914,616910000,0,0
2019-03-18 00:00:00-04:00,25801.88086,25924.76953,25785.66016,25914.09961,303170000,0,0
2019-03-19 00:00:00-04:00,25987.86914,26109.67969,25814.91992,25887.38086,342250000,0,0
2019-03-20 00:00:00-04:00,25867.78906,25929.51953,25670.63086,25745.66992,321980000,0,0
2019-03-21 00:00:00-04:00,25688.43945,26009.90039,25657.7793,25962.50977,335250000,0,0
2019-03-22 00:00:00-04:00,25844.65039,25877.00977,25501.44922,25502.32031,386510000,0,0
2019-03-25 00:00:00-04:00,25490.7207,25603.26953,25372.25977,25516.83008,303120000,0,0
2019-03-26 00:00:00-04:00,25649.56055,25796.28906,25544.7793,25657.73047,305110000,0,0
2019-03-27 00:00:00-04:00,25676.33984,25758.16992,25425.26953,25625.58984,270340000,0,0
2019-03-28 00:00:00-04:00,25693.32031,25743.41016,25576.68945,25717.46094,237170000,0,0
2019-03-29 00:00:00-04:00,25827.31055,25949.32031,25771.66992,25928.67969,300620000,0,0
2019-04-01 00:00:00-04:00,26075.09961,26280.90039,26071.68945,26258.41992,295570000,0,0
2019-04-02 00:00:00-04:00,26213.55078,26221.24023,26122.31055,26179.13086,250940000,0,0
2019-04-03 00:00:00-04:00,26238.0293,26282.16992,26138.4707,26218.13086,271980000,0,0
2019-04-04 00:00:00-04:00,26213.41992,26398.90039,26212.7793,26384.63086,233040000,0,0
2019-04-05 00:00:00-04:00,26427.56055,26487.57031,26370.82031,26424.99023,229550000,0,0
2019-04-08 00:00:00-04:00,26312.66992,26344.65039,26246.0293,26341.01953,229380000,0,0
2019-04-09 00:00:00-04:00,26243.53906,26246.33984,26103.14063,26150.58008,244410000,0,0
2019-04-10 00:00:00-04:00,26173.71094,26209.49023,26101.24023,26157.16016,203130000,0,0
2019-04-11 00:00:00-04:00,26188.21094,26229.88086,26062.58984,26143.05078,211680000,0,0
2019-04-12 00:00:00-04:00,26357.78906,26436.67969,26309.7207,26412.30078,369910000,0,0
2019-04-15 00:00:00-04:00,26407.75977,26424.84961,26316.41992,26384.76953,250620000,0,0
2019-04-16 00:00:00-04:00,26482.18945,26530.71094,26397.18945,26452.66016,302340000,0,0
2019-04-17 00:00:00-04:00,26468.5293,26501.01953,26391.85938,26449.53906,367780000,0,0
2019-04-18 00:00:00-04:00,26463.36914,26602.41992,26444.5293,26559.53906,332850000,0,0
2019-04-22 00:00:00-04:00,26510.76953,26553.05078,26458.60938,26511.05078,232570000,0,0
2019-04-23 00:00:00-04:00,26513.83008,26695.96094,26503.56055,26656.39063,311690000,0,0
2019-04-24 00:00:00-04:00,26652.56055,26680.58008,26582.85938,26597.05078,283370000,0,0
2019-04-25 00:00:00-04:00,26426.36914,26536.48047,26310.2793,26462.08008,296730000,0,0
2019-04-26 00:00:00-04:00,26454.61914,26543.56055,26392.55078,26543.33008,317290000,0,0
2019-04-29 00:00:00-04:00,26559.86914,26602.53906,26520.75,26554.39063,279450000,0,0
2019-04-30 00:00:00-04:00,26594.56055,26614.03906,26419.4707,26592.91016,340320000,0,0
2019-05-01 00:00:00-04:00,26639.06055,26689.39063,26426.38086,26430.14063,303850000,0,0
2019-05-02 00:00:00-04:00,26407.15039,26454.68945,26180.35938,26307.78906,287610000,0,0
2019-05-03 00:00:00-04:00,26379.14063,26534.96094,26370.08984,26504.94922,248900000,0,0
2019-05-06 00:00:00-04:00,26160.61914,26476.26953,26033.94922,26438.48047,283020000,0,0
2019-05-07 00:00:00-04:00,26276.90039,26276.90039,25789.71094,25965.08984,334960000,0,0
2019-05-08 00:00:00-04:00,25933.78906,26118.09961,25889.41016,25967.33008,276420000,0,0
2019-05-09 00:00:00-04:00,25878.84961,25884.89063,25517.39063,25828.35938,334760000,0,0
2019-05-10 00:00:00-04:00,25763.7207,26019.32031,25469.85938,25942.36914,294580000,0,0
2019-05-13 00:00:00-04:00,25568.06055,25568.06055,25222.50977,25324.99023,361240000,0,0
2019-05-14 00:00:00-04:00,25384.0293,25688.96094,25384.0293,25532.05078,291570000,0,0
2019-05-15 00:00:00-04:00,25400.13086,25724.89063,25341.93945,25648.01953,270720000,0,0
2019-05-16 00:00:00-04:00,25692.14063,25957.63086,25692.14063,25862.67969,320960000,0,0
2019-05-17 00:00:00-04:00,25719.94922,25948.74023,25657.7793,25764,283760000,0,0
2019-05-20 00:00:00-04:00,25655.31055,25751.71094,25560.55078,25679.90039,279560000,0,0
2019-05-21 00:00:00-04:00,25782.33984,25898.26953,25779.60938,25877.33008,260870000,0,0
2019-05-22 00:00:00-04:00,25818.46094,25878.21094,25755.10938,25776.60938,241760000,0,0
2019-05-23 00:00:00-04:00,25657.99023,25657.99023,25328.08984,25490.4707,316940000,0,0
2019-05-24 00:00:00-04:00,25551.07031,25670.81055,25496.19922,25585.68945,201370000,0,0
2019-05-28 00:00:00-04:00,25616.55078,25717.63086,25342.2793,25347.76953,358980000,0,0
2019-05-29 00:00:00-04:00,25231.46094,25231.46094,24938.24023,25126.41016,298930000,0,0
2019-05-30 00:00:00-04:00,25139.93945,25218.53906,25066.75,25169.88086,215240000,0,0
2019-05-31 00:00:00-04:00,25046.31055,25046.31055,24809.50977,24815.03906,292230000,0,0
2019-06-03 00:00:00-04:00,24830.16016,24935.21094,24680.57031,24819.7793,328240000,0,0
2019-06-04 00:00:00-04:00,24962.82031,25343.76953,24962.82031,25332.17969,281690000,0,0
2019-06-05 00:00:00-04:00,25451,25544.66016,25373.58008,25539.57031,262660000,0,0
2019-06-06 00:00:00-04:00,25567.44922,25800.30078,25518.05078,25720.66016,248070000,0,0
2019-06-07 00:00:00-04:00,25768.7207,26072.75,25768.7207,25983.93945,263010000,0,0
2019-06-10 00:00:00-04:00,26090.2207,26210.60938,26054.31055,26062.67969,249280000,0,0
2019-06-11 00:00:00-04:00,26180.58984,26248.66992,25998.86914,26048.50977,253490000,0,0
2019-06-12 00:00:00-04:00,26040.30078,26082.09961,25958.66016,26004.83008,223690000,0,0
2019-06-13 00:00:00-04:00,26036.93945,26146.91016,25995.71094,26106.76953,213400000,0,0
2019-06-14 00:00:00-04:00,26076.35938,26162.2793,25988.08984,26089.60938,208020000,0,0
2019-06-17 00:00:00-04:00,26108.5293,26165.7793,26049.80078,26112.5293,199500000,0,0
2019-06-18 00:00:00-04:00,26228.90039,26527.18945,26227.80078,26465.53906,273490000,0,0
2019-06-19 00:00:00-04:00,26490.16016,26569.75,26415.05078,26504,240950000,0,0
2019-06-20 00:00:00-04:00,26665.38086,26798.63086,26539.68945,26753.16992,278170000,0,0
2019-06-21 00:00:00-04:00,26749.11914,26907.36914,26705.86914,26719.13086,485560000,0,0
2019-06-24 00:00:00-04:00,26727.60938,26806.51953,26723.36914,26727.53906,232390000,0,0
2019-06-25 00:00:00-04:00,26731.60938,26752.31055,26527.66016,26548.2207,282160000,0,0
2019-06-26 00:00:00-04:00,26599.41992,26660.03906,26536.33008,26536.82031,274340000,0,0
2019-06-27 00:00:00-04:00,26523.7207,26607.24023,26465.32031,26526.58008,246930000,0,0
